Sample Date,Test date,WRRF Name,WRRF Abbreviation,N1 Copies/L,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated "
08/31/2020,09/01/2020,Hunts Point,HP,940.00,574446.57,,755948
09/02/2020,09/03/2020,Hunts Point,HP,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",755948
09/06/2020,09/07/2020,Hunts Point,HP,,,Possible analytical issue,755948
09/08/2020,09/09/2020,Hunts Point,HP,1582.00,958342.09,,755948
09/13/2020,09/14/2020,Hunts Point,HP,492.00,297884.18,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
09/15/2020,09/16/2020,Hunts Point,HP,1050.00,609928.65,,755948
09/20/2020,09/21/2020,Hunts Point,HP,568.00,338284.96,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
09/22/2020,09/23/2020,Hunts Point,HP,293.00,168601.97,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
09/27/2020,09/28/2020,Hunts Point,HP,781.00,473361.55,,755948
09/29/2020,09/30/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948
10/04/2020,10/05/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948
10/06/2020,10/07/2020,Hunts Point,HP,1051.00,605349.79,,755948
10/11/2020,10/12/2020,Hunts Point,HP,846.00,495520.01,,755948
10/13/2020,10/14/2020,Hunts Point,HP,1822.00,1414059.02,,755948
10/18/2020,10/19/2020,Hunts Point,HP,2565.00,1502723.13,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,755948
10/20/2020,10/21/2020,Hunts Point,HP,2303.00,1280065.10,,755948
10/25/2020,10/26/2020,Hunts Point,HP,2678.00,1461670.41,,755948
10/27/2020,10/28/2020,Hunts Point,HP,6656.00,4265992.05,,755948
11/01/2020,11/03/2020,Hunts Point,HP,2302.00,1833005.95,,755948
11/03/2020,11/04/2020,Hunts Point,HP,1974.00,1245744.71,Sample processing method slightly different due to supply chain issues,755948
11/08/2020,11/09/2020,Hunts Point,HP,6518.00,3982133.06,,755948
11/10/2020,11/17/2020,Hunts Point,HP,646.00,371849.05,,755948
11/15/2020,11/16/2020,Hunts Point,HP,4704.00,3509625.30,Sample processing method slightly different due to supply chain issues,755948
11/17/2020,11/18/2020,Hunts Point,HP,4164.00,2481103.24,,755948
11/22/2020,11/23/2020,Hunts Point,HP,8993.00,5718984.53,,755948
11/24/2020,11/25/2020,Hunts Point,HP,10658.00,6404123.29,,755948
11/29/2020,11/30/2020,Hunts Point,HP,15763.00,9551169.90,,755948
12/01/2020,12/02/2020,Hunts Point,HP,7420.00,4941911.78,,755948
12/06/2020,12/07/2020,Hunts Point,HP,11143.00,7476839.36,,755948
12/08/2020,12/09/2020,Hunts Point,HP,27233.00,17728055.13,,755948
12/13/2020,12/14/2020,Hunts Point,HP,13738.00,8392535.31,,755948
12/15/2020,12/16/2020,Hunts Point,HP,15707.00,9595528.47,,755948
12/20/2020,12/21/2020,Hunts Point,HP,10938.00,7558553.36,,755948
12/22/2020,12/23/2020,Hunts Point,HP,16303.00,12082663.60,,755948
12/27/2020,12/28/2020,Hunts Point,HP,9451.00,6246885.68,,755948
12/29/2020,12/30/2020,Hunts Point,HP,4304.00,2715667.21,,755948
01/03/2021,01/04/2021,Hunts Point,HP,15469.00,12006794.69,,755948
01/05/2021,01/06/2021,Hunts Point,HP,24343.00,15968841.88,,755948
01/10/2021,01/11/2021,Hunts Point,HP,41541.00,26626060.61,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
01/12/2021,01/13/2021,Hunts Point,HP,22861.00,14653093.50,,755948
01/17/2021,01/18/2021,Hunts Point,HP,26170.00,17298328.44,,755948
01/19/2021,01/20/2021,Hunts Point,HP,8507.00,5367261.13,,755948
01/24/2021,01/25/2021,Hunts Point,HP,23441.00,16903189.31,,755948
01/26/2021,01/27/2021,Hunts Point,HP,17466.00,11807223.43,,755948
01/31/2021,02/01/2021,Hunts Point,HP,26996.00,18249790.35,,755948
02/07/2021,02/08/2021,Hunts Point,HP,14950.00,10779962.04,,755948
02/14/2021,02/15/2021,Hunts Point,HP,22395.00,14466212.74,,755948
02/21/2021,02/22/2021,Hunts Point,HP,22853.00,16135835.04,,755948
02/28/2021,03/01/2021,Hunts Point,HP,6355.00,6268938.72,,755948
03/07/2021,03/08/2021,Hunts Point,HP,6375.00,4341481.28,,755948
03/14/2021,03/15/2021,Hunts Point,HP,7047.00,4375600.00,,755948
03/21/2021,03/22/2021,Hunts Point,HP,19663.00,11520324.56,,755948
03/28/2021,03/29/2021,Hunts Point,HP,8226.00,8856026.55,,755948
04/04/2021,04/05/2021,Hunts Point,HP,6139.00,3596520.87,,755948
04/11/2021,04/12/2021,Hunts Point,HP,6203.00,5621986.52,,755948
04/18/2021,04/19/2021,Hunts Point,HP,2631.00,1646977.98,,755948
04/25/2021,04/26/2021,Hunts Point,HP,3597.00,3097799.58,,755948
04/27/2021,04/28/2021,Hunts Point,HP,2688.00,1615486.46,,755948
05/02/2021,05/03/2021,Hunts Point,HP,3519.00,2167732.44,,755948
05/09/2021,05/10/2021,Hunts Point,HP,1791.00,1560369.70,,755948
05/11/2021,05/12/2021,Hunts Point,HP,1979.00,1179543.13,,755948
05/16/2021,05/17/2021,Hunts Point,HP,1283.00,693611.33,,755948
05/18/2021,05/19/2021,Hunts Point,HP,1699.00,935908.76,,755948
05/23/2021,05/24/2021,Hunts Point,HP,747.00,441388.50,,755948
05/25/2021,05/26/2021,Hunts Point,HP,1323.00,689113.58,,755948
05/30/2021,05/31/2021,Hunts Point,HP,359.00,427830.04,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
06/01/2021,06/02/2021,Hunts Point,HP,342.00,200632.71,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
06/06/2021,06/07/2021,Hunts Point,HP,670.00,439401.06,,755948
06/08/2021,06/09/2021,Hunts Point,HP,371.00,326575.32,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
06/13/2021,06/14/2021,Hunts Point,HP,931.00,498876.24,,755948
06/15/2021,06/16/2021,Hunts Point,HP,642.00,369873.70,,755948
06/20/2021,06/21/2021,Hunts Point,HP,624.00,412614.59,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
06/22/2021,06/23/2021,Hunts Point,HP,907.00,604145.43,,755948
06/27/2021,06/28/2021,Hunts Point,HP,407.00,242608.25,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
06/29/2021,06/30/2021,Hunts Point,HP,741.00,523137.32,,755948
07/06/2021,07/07/2021,Hunts Point,HP,1106.00,891681.51,,755948
07/11/2021,07/12/2021,Hunts Point,HP,1092.00,907495.63,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
07/13/2021,07/14/2021,Hunts Point,HP,2414.00,1535266.42,,755948
07/18/2021,07/19/2021,Hunts Point,HP,2108.00,1372180.15,,755948
07/20/2021,,Hunts Point,HP,,,No sample delivery due to logistical issue,755948
07/25/2021,07/26/2021,Hunts Point,HP,4194.00,3255593.41,,755948
07/27/2021,07/28/2021,Hunts Point,HP,,,Analytical issue,755948
08/01/2021,08/02/2021,Hunts Point,HP,4001.00,2484200.87,,755948
08/03/2021,08/04/2021,Hunts Point,HP,7147.00,4187306.63,,755948
08/08/2021,08/09/2021,Hunts Point,HP,10258.00,7088452.29,,755948
08/10/2021,08/11/2021,Hunts Point,HP,26519.00,19122524.68,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
08/15/2021,08/16/2021,Hunts Point,HP,5386.00,3506433.52,,755948
08/17/2021,,Hunts Point,HP,,,No sample delivery due to logistical issue,755948
08/22/2021,08/23/2021,Hunts Point,HP,1400.00,2319722.16,,755948
08/24/2021,08/25/2021,Hunts Point,HP,7976.00,5711623.74,,755948
08/29/2021,08/30/2021,Hunts Point,HP,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",755948
08/31/2021,09/01/2021,Hunts Point,HP,2810.00,1604126.38,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
09/07/2021,09/08/2021,Hunts Point,HP,4443.00,3871317.53,,755948
09/12/2021,09/13/2021,Hunts Point,HP,5088.00,3414187.62,,755948
09/14/2021,09/15/2021,Hunts Point,HP,7228.00,4849769.22,,755948
09/19/2021,09/20/2021,Hunts Point,HP,4094.00,2726886.14,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
09/21/2021,09/22/2021,Hunts Point,HP,3475.00,2175147.84,,755948
09/26/2021,09/27/2021,Hunts Point,HP,2625.00,1787689.84,,755948
09/28/2021,09/29/2021,Hunts Point,HP,4540.00,3319256.98,,755948
10/03/2021,10/04/2021,Hunts Point,HP,2080.00,1385047.22,,755948
10/05/2021,10/06/2021,Hunts Point,HP,3393.00,2243006.64,,755948
10/12/2021,10/13/2021,Hunts Point,HP,1543.00,881100.95,,755948
10/17/2021,10/18/2021,Hunts Point,HP,1285.00,708057.04,,755948
10/19/2021,10/20/2021,Hunts Point,HP,1037.00,566066.73,,755948
10/24/2021,10/25/2021,Hunts Point,HP,808.00,457431.30,,755948
10/26/2021,10/27/2021,Hunts Point,HP,918.00,1566703.29,,755948
11/02/2021,11/03/2021,Hunts Point,HP,2340.00,1358955.77,,755948
11/07/2021,11/08/2021,Hunts Point,HP,1387.00,757285.86,,755948
11/14/2021,11/15/2021,Hunts Point,HP,2256.00,1208997.83,,755948
11/21/2021,11/22/2021,Hunts Point,HP,2777.00,1460087.28,,755948
11/28/2021,11/29/2021,Hunts Point,HP,4123.00,2250385.91,,755948
11/30/2021,12/01/2021,Hunts Point,HP,11015.00,5736309.79,,755948
12/05/2021,12/06/2021,Hunts Point,HP,17888.00,10300848.17,,755948
12/07/2021,12/08/2021,Hunts Point,HP,5253.00,2735808.42,,755948
12/12/2021,12/13/2021,Hunts Point,HP,6501.00,3548262.09,,755948
12/14/2021,12/15/2021,Hunts Point,HP,6241.00,3375335.00,,755948
12/19/2021,12/20/2021,Hunts Point,HP,13661.00,8003751.26,,755948
12/26/2021,12/27/2021,Hunts Point,HP,176145.00,98789230.86,,755948
01/02/2022,01/03/2022,Hunts Point,HP,91989.00,60803900.74,,755948
01/04/2022,01/05/2022,Hunts Point,HP,74306.00,47255179.07,,755948
01/10/2022,01/11/2022,Hunts Point,HP,18544.00,11514795.92,,755948
01/12/2022,01/13/2022,Hunts Point,HP,29799.00,18204685.25,,755948
01/17/2022,01/18/2022,Hunts Point,HP,2029.00,1768182.95,,755948
01/19/2022,01/20/2022,Hunts Point,HP,4916.00,3298868.61,,755948
01/24/2022,01/25/2022,Hunts Point,HP,7622.00,5305291.39,,755948
01/26/2022,01/27/2022,Hunts Point,HP,5475.00,3760000.00,,755948
01/31/2022,02/01/2022,Hunts Point,HP,1896.00,1220000.00,,755948
02/02/2022,02/03/2022,Hunts Point,HP,2091.00,1490000.00,,755948
02/06/2022,02/07/2022,Hunts Point,HP,1441.00,960000.00,,755948
02/08/2022,02/09/2022,Hunts Point,HP,653.00,416000.00,,755948
02/13/2022,02/14/2022,Hunts Point,HP,415.00,291000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
02/15/2022,02/16/2022,Hunts Point,HP,1414.00,985000.00,,755948
02/22/2022,02/23/2022,Hunts Point,HP,283.63,233000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
02/27/2022,02/28/2022,Hunts Point,HP,1434.63,984000.00,,755948
03/01/2022,03/02/2022,Hunts Point,HP,890.42,593000.00,,755948
03/06/2022,03/07/2022,Hunts Point,HP,587.88,421000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
03/08/2022,03/09/2022,Hunts Point,HP,1526.26,925000.00,,755948
03/13/2022,03/14/2022,Hunts Point,HP,638.10,463000.00,,755948
03/15/2022,03/16/2022,Hunts Point,HP,508.30,308000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
03/20/2022,03/21/2022,Hunts Point,HP,310.83,190000.00,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",755948
03/22/2022,03/23/2022,Hunts Point,HP,1142.68,675000.00,,755948
03/27/2022,03/28/2022,Hunts Point,HP,345.18,221000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
03/29/2022,03/30/2022,Hunts Point,HP,2128.61,1230000.00,,755948
04/03/2022,04/04/2022,Hunts Point,HP,1077.64,696000.00,,755948
04/05/2022,04/06/2022,Hunts Point,HP,2720.23,1910000.00,,755948
04/10/2022,04/11/2022,Hunts Point,HP,829.42,544000.00,,755948
04/12/2022,04/13/2022,Hunts Point,HP,2720.27,1620000.00,,755948
04/17/2022,04/18/2022,Hunts Point,HP,3882.84,2310000.00,,755948
04/19/2022,04/20/2022,Hunts Point,HP,3061.59,2390000.00,,755948
04/24/2022,04/25/2022,Hunts Point,HP,5405.83,3360000.00,,755948
04/26/2022,04/27/2022,Hunts Point,HP,5960.29,3550000.00,,755948
05/01/2022,05/02/2022,Hunts Point,HP,9299.49,6100000.00,,755948
05/03/2022,05/04/2022,Hunts Point,HP,7484.65,4420000.00,,755948
05/08/2022,05/09/2022,Hunts Point,HP,7055.29,4730000.00,,755948
05/10/2022,05/11/2022,Hunts Point,HP,4215.00,2490000.00,Lower PCR efficiency: 78%,755948
05/15/2022,05/16/2022,Hunts Point,HP,8381.37,4990000.00,Lower PCR efficiency: 74%,755948
05/17/2022,05/18/2022,Hunts Point,HP,15201.82,8600000.00,Lower PCR efficiency: 79%,755948
05/22/2022,05/23/2022,Hunts Point,HP,4138.00,2650000.00,Lower PCR efficiency: 78%,755948
05/24/2022,05/25/2022,Hunts Point,HP,13413.00,7520000.00,,755948
05/31/2022,06/01/2022,Hunts Point,HP,7184.00,4390000.00,,755948
06/05/2022,06/06/2022,Hunts Point,HP,3898.00,2380000.00,,755948
06/07/2022,06/08/2022,Hunts Point,HP,8601.00,5130000.00,,755948
06/12/2022,06/13/2022,Hunts Point,HP,4313.00,2630000.00,,755948
06/14/2022,06/15/2022,Hunts Point,HP,21252.00,12200000.00,,755948
06/21/2022,06/22/2022,Hunts Point,HP,13054.00,8110000.00,,755948
06/26/2022,06/27/2022,Hunts Point,HP,12546.00,7540000.00,,755948
06/28/2022,06/29/2022,Hunts Point,HP,7134.00,3970000.00,,755948
07/05/2022,07/06/2022,Hunts Point,HP,25710.00,15100000.00,,755948
07/10/2022,07/11/2022,Hunts Point,HP,10662.00,5930000.00,,755948
07/12/2022,07/13/2022,Hunts Point,HP,22025.00,12000000.00,,755948
07/17/2022,07/18/2022,Hunts Point,HP,15929.00,9010000.00,,755948
07/19/2022,07/20/2022,Hunts Point,HP,10799.00,7460000.00,,755948
07/24/2022,07/25/2022,Hunts Point,HP,21216.00,16500000.00,,755948
07/26/2022,07/27/2022,Hunts Point,HP,16678.00,10800000.00,,755948
07/31/2022,08/01/2022,Hunts Point,HP,12406.00,9570000.00,,755948
08/02/2022,08/03/2022,Hunts Point,HP,9907.00,6300000.00,,755948
08/07/2022,08/08/2022,Hunts Point,HP,16268.00,11100000.00,,755948
08/09/2022,08/10/2022,Hunts Point,HP,12053.00,9290000.00,Low standard curve efficiency (62%),755948
08/14/2022,08/15/2022,Hunts Point,HP,15177.00,8970000.00,,755948
08/16/2022,08/17/2022,Hunts Point,HP,13211.00,7280000.00,,755948
08/21/2022,08/22/2022,Hunts Point,HP,15354.00,8610000.00,Low standard curve efficiency (68%),755948
08/23/2022,08/24/2022,Hunts Point,HP,14963.00,8390000.00,,755948
08/28/2022,08/29/2022,Hunts Point,HP,7300.00,4090000.00,,755948
08/30/2022,08/31/2022,Hunts Point,HP,10311.00,5630000.00,,755948
09/06/2022,09/07/2022,Hunts Point,HP,6428.00,5950000.00,,755948
09/11/2022,09/12/2022,Hunts Point,HP,5007.00,3890000.00,,755948
09/13/2022,09/14/2022,Hunts Point,HP,3938.00,2740000.00,,755948
09/18/2022,09/19/2022,Hunts Point,HP,5470.00,3040000.00,,755948
09/20/2022,09/21/2022,Hunts Point,HP,11977.00,6480000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
09/25/2022,09/26/2022,Hunts Point,HP,6780.00,5910000.00,,755948
09/27/2022,09/28/2022,Hunts Point,HP,15423.00,8340000.00,,755948
10/04/2022,10/05/2022,Hunts Point,HP,2448.00,2760000.00,,755948
10/11/2022,10/12/2022,Hunts Point,HP,10329.00,5690000.00,,755948
10/16/2022,10/17/2022,Hunts Point,HP,4399.00,2490000.00,,755948
10/23/2022,10/24/2022,Hunts Point,HP,7839.00,4440000.00,,755948
10/25/2022,10/26/2022,Hunts Point,HP,14193.00,8100000.00,,755948
10/30/2022,10/31/2022,Hunts Point,HP,8523.00,4780000.00,,755948
11/01/2022,11/02/2022,Hunts Point,HP,18379.00,9940000.00,,755948
11/08/2022,11/09/2022,Hunts Point,HP,30303.00,16100000.00,,755948
11/13/2022,11/14/2022,Hunts Point,HP,7703.00,4440000.00,,755948
11/15/2022,11/16/2022,Hunts Point,HP,18282.00,17200000.00,,755948
11/20/2022,11/21/2022,Hunts Point,HP,6446.00,3620000.00,,755948
11/28/2022,11/29/2022,Hunts Point,HP,19838.00,11200000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,755948
11/30/2022,12/01/2022,Hunts Point,HP,,,Sample was not analyzed due to ongoing study with NYC-DOHMH,755948
12/05/2022,12/06/2022,Hunts Point,HP,19332.00,11000000.00,,755948
12/07/2022,12/08/2022,Hunts Point,HP,19025.00,12700000.00,,755948
12/11/2022,12/12/2022,Hunts Point,HP,7729.00,5650000.00,low standard curve efficiency,755948
12/18/2022,12/19/2022,Hunts Point,HP,9237.00,,Flow value not yet available,755948
12/20/2022,12/21/2022,Hunts Point,HP,24046.00,,Flow value not yet available,755948
12/27/2022,12/28/2022,Hunts Point,HP,12870.00,,Flow value not yet available,755948
