strain	filter	kwargs
USA/NY-MSHSPSP-PV35868/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21035504-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV65404/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21012058-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21028638-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV66033/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
Homospiens/BHR/22600160769_S92_L001/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL056211616/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21015463-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21028291-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-NYULH1051/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21042178-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21026025-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
OY739265	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV65262/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21021058-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV57579/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
OY553377	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21020003-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21087748-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
England/PLYM-326F9A85/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV26943/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21026044-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21026013-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-22016596-01/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV58085/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV74982/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL055211116/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21026035-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21028300-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21032768-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/VA-CDC-LC0956021/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21021060-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21061905-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
Denmark/DCGC-629597/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21012223-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL056210713/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21020538-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/CA-CDPH-500130162/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV70365/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21106889-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21022142-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21028310-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV65214/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21045512-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21038184-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV74989/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21044189-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21018086-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL019211203/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-NYULH1053/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/2023CV2650/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV58368/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL070210947/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV35635/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/MS-MSPHL-0637/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
England/LSPA-36A5E13/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21040789-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21050092-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV57929/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/MN-MDH-38494/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21025962-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21018017-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL051210787/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/AR-CDC-QDX84542043/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21018141-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21005046-01/2020	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
IND/IITRnCoV93/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL051210733/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21023713-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV66260/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21008490-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/IVY-G43Q94B6/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV67248/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL053211364/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21025993-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21024535-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
England/LOND-12607E6/2020	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-CDC-QDX85474200/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NJ-PHEL-V23008906/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NJ-PHEL-V23016397-rep1/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV36550/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-22012212-01/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
OY034711	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21046905-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL047211983/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21028254-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21032634-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21020874-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV27093/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-22025779-01/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/MD-CDC-LC1064569/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21031413-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21020632-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
IMS-10285-CVDP-3147536B-56EE-4FE4-AA03-6ED7210181FE	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MMI040210454/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV59265/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV37108/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL019210016/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21040804-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NV-CDC-LC0913496/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV58107/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21032725-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MVL062211722/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21026002-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-NYCPHL-003654/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV35835/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV35743/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
Scotland/SCOT-24145/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV59475/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21030351-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/IN-CDC-LC0073214/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21022364-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21032777-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21087754-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
Denmark/DCGC-641842/2023	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21038176-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21021173-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/AZ-CDC-ASC210002743/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21032738-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21035502-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21018132-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/FL-CDC-ASC210070904/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV66178/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV35113/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-MSHSPSP-PV57549/2022	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21020879-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21028308-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21046906-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-Wadsworth-21020542-01/2021	filter_by_exclude	"[[""exclude_file"", ""results/custom-build/excluded_by_diagnostics.txt""]]"
USA/NY-PV36598/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/NV-NSPHL-475572/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/CO-CDPHE-2103421374/2022	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/UT-UPHL-210528331446/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/NY-PV28901/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/SEARCH-16912/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/Mayo7673/2020	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/UT-UPHL-220326263689/2022	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/UT-UPHL-2011756/2020	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/CO-CDPHE-2011139357/2020	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/CA-CDPH-500010348/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/CA-SDCPHL-042721-090/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/CO-CDPHE-2103072957/2022	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/SEARCH-15331/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/CA-CDPH-3000033037/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/SEARCH-13880/2021	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/UT-UPHL-220619160344/2022	filter_by_exclude_where	"[[""exclude_where"", ""division=USA""]]"
USA/NY-NYULH512/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH1067/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
COL/SEC-1580T/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
BHR/30005866/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH1385/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/FL-BPHL-10830/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH2247/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
OY749011	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH2285/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
OY616903	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH838/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH1492/2020	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH1590/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
OY770582	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
USA/NY-NYULH1381/2021	filter_by_query	"[[""query"", ""(`reference_data` == 'yes' & _length >= 27000) | (`custom_data` == 'yes' & _length >= 27000)""]]"
AUS/VIC7512/2020	filter_by_ambiguous_date	"[[""ambiguity"", ""any""], [""date_column"", ""date""]]"
OY616441	filter_by_ambiguous_date	"[[""ambiguity"", ""any""], [""date_column"", ""date""]]"
IMS-10082-CVDP-B3D9D9F4-F2BC-4CBB-8DA2-04BB84D38193	filter_by_ambiguous_date	"[[""ambiguity"", ""any""], [""date_column"", ""date""]]"
Wuhan-Hu-1/2019	force_include_strains	"[[""include_file"", ""defaults/include.txt""]]"
